Year,Diplomatic Missions,International Agreements,Foreign Visits by Officials,Foreign Delegations to Ukraine,Trade Agreements Signed
2018,104,102,42,24,18
2019,99,157,66,36,46
2020,106,118,22,16,32
2021,86,122,63,33,13
2022,89,113,45,50,45
2023,105,145,65,46,17
2024,97,147,26,27,23
2000,94,147,38,24,38
2001,107,112,45,33,18
2002,89,122,75,25,26
2003,80,108,21,59,17
2004,97,111,47,37,48
2005,88,149,44,21,6
2006,89,132,36,37,31
2007,96,139,28,32,35
2008,93,148,36,49,25
2009,98,146,49,14,8
2010,108,132,51,62,25
2011,80,106,29,29,42
2012,99,151,39,23,8
2013,101,149,60,69,48
2014,102,148,56,41,31
2015,101,135,64,13,14
2016,98,138,58,45,40
2017,84,150,59,19,39
2018,82,103,71,68,15
2019,86,148,65,23,26
2020,108,109,54,16,41
2021,99,136,64,28,11
2022,107,116,48,66,25
2023,108,132,57,40,46
2024,87,134,37,13,6
2000,109,141,43,15,44
2001,108,117,40,42,12
2002,103,106,73,50,48
2003,85,102,39,65,32
2004,108,133,24,20,28
2005,95,129,57,59,6
2006,98,128,75,44,6
2007,91,142,22,11,8
2008,98,128,61,23,29
2009,104,107,46,49,43
2010,96,116,53,33,41
2011,82,148,26,28,38
2012,84,151,66,16,14
2013,82,159,62,29,7
2014,88,116,54,52,15
2015,88,157,69,32,15
2016,90,120,49,24,15
2017,108,145,39,18,34
2018,109,132,55,30,32
2019,107,121,53,24,17
2020,82,129,41,58,48
2021,89,149,24,47,15
2022,98,127,45,43,39
2023,91,106,73,27,15
2024,95,115,77,14,41
2000,97,134,53,68,12
2001,95,146,36,48,35
2002,80,149,65,29,27
2003,90,150,51,19,28
2004,97,133,22,21,47
2005,80,126,27,62,24
2006,82,119,56,62,34
2007,87,112,61,48,49
2008,97,100,64,41,25
2009,81,122,35,61,27
2010,90,138,47,42,38
2011,93,141,21,54,31
2012,80,114,30,32,33
2013,85,116,48,42,40
2014,96,131,22,26,34
2015,106,149,60,55,48
2016,83,118,21,26,26
2017,99,125,69,15,22
2018,102,114,43,48,25
2019,105,105,45,65,29
2020,103,155,77,29,30
2021,103,108,59,51,30
2022,106,111,66,34,30
2023,96,122,57,59,17
2024,108,155,46,56,11
2000,93,106,25,49,24
2001,90,142,39,46,13
2002,101,156,51,30,31
2003,84,128,61,44,8
2004,108,139,33,19,6
2005,105,144,74,32,40
2006,82,131,35,63,20
2007,86,140,28,28,38
2008,108,150,55,25,15
2009,84,140,26,64,15
2010,105,143,45,30,12
2011,101,102,51,45,45
2012,83,151,65,26,46
2013,80,145,63,33,37
2014,95,134,58,67,32
2015,85,156,34,27,36
2016,98,119,46,16,29
2017,93,142,59,67,45
2018,92,101,46,17,13
2019,82,100,72,31,43
2020,109,131,42,69,38
2021,104,154,60,26,16
2022,107,149,58,62,28
2023,104,124,28,55,22
2024,105,115,42,19,39
2000,82,115,54,68,11
2001,95,159,21,28,41
2002,95,138,61,33,49
2003,86,147,25,47,43
2004,107,100,23,35,43
2005,99,115,71,29,40
2006,89,149,20,59,25
2007,89,147,74,60,26
2008,95,137,69,50,8
2009,104,139,48,34,17
2010,103,123,66,29,43
2011,102,133,26,32,28
2012,96,130,58,55,14
2013,98,138,31,30,19
2014,90,159,26,48,39
2015,81,118,43,46,41
2016,89,127,57,44,15
2017,104,122,70,50,24
2018,97,143,50,58,31
2019,86,124,62,43,41
2020,90,106,78,47,42
2021,109,158,69,27,23
2022,107,146,76,36,48
2023,91,149,55,68,19
2024,81,148,62,64,5
2000,101,105,36,34,16
2001,94,114,41,29,26
2002,107,110,63,23,21
2003,104,110,36,68,45
2004,95,119,70,10,46
2005,108,102,30,37,41
2006,103,156,40,61,44
2007,103,132,20,15,19
2008,93,143,30,51,9
2009,89,143,77,56,21
2010,95,123,29,67,35
2011,105,100,30,61,14
2012,100,153,60,30,14
2013,82,114,31,19,44
2014,99,125,25,62,10
2015,109,157,54,48,36
2016,81,119,72,60,43
2017,102,120,40,29,36
2018,97,134,61,35,23
2019,103,130,39,65,29
2020,91,123,32,46,18
2021,109,145,34,29,49
2022,109,152,31,56,30
2023,98,126,58,24,16
2024,90,148,37,48,7
2000,84,153,54,60,36
2001,88,118,60,61,35
2002,106,153,23,29,12
2003,98,142,21,21,17
2004,98,122,64,27,44
2005,84,151,28,17,48
2006,99,158,55,66,10
2007,101,131,20,18,11
2008,108,148,79,68,7
2009,89,135,36,36,28
2010,91,155,61,42,44
2011,85,116,56,11,6
2012,90,154,42,65,33
2013,109,154,37,11,33
2014,92,100,62,68,5
2015,88,136,64,23,20
2016,106,142,25,69,45
2017,80,158,21,53,15
2018,84,138,29,22,48
2019,101,145,77,20,45
2020,80,108,29,49,5
2021,100,123,29,55,10
2022,105,136,28,18,22
2023,98,119,23,46,23
2024,82,158,65,17,22
2000,108,136,72,40,16
2001,84,140,35,25,26
2002,99,110,78,44,31
2003,106,138,38,53,25
2004,85,107,44,66,47
2005,104,101,42,68,40
2006,82,125,48,69,16
2007,93,145,34,63,38
2008,104,119,31,11,37
2009,106,143,74,30,42
2010,85,155,64,52,18
2011,91,142,70,57,24
2012,89,141,57,31,8
2013,109,114,59,25,16
2014,93,152,79,30,18
2015,83,114,72,16,29
2016,106,125,65,17,23
2017,82,100,55,36,44
2018,99,158,67,48,37
2019,82,150,28,59,35
2020,99,134,32,29,28
2021,96,127,61,66,30
2022,94,131,45,27,29
2023,91,106,37,42,17
2024,86,101,24,58,41
2000,99,116,34,65,43
2001,81,150,24,30,30
2002,99,145,24,53,22
2003,94,113,59,55,27
2004,103,154,76,45,26
2005,91,119,46,39,29
2006,100,106,59,22,10
2007,90,100,67,38,25
2008,90,136,33,53,36
2009,103,140,71,22,18
2010,88,127,23,35,9
2011,80,107,23,21,15
2012,97,101,72,46,7
2013,104,130,75,61,9
2014,92,106,27,36,16
2015,84,153,29,51,21
2016,94,108,70,25,18
2017,106,134,48,52,9
2018,89,154,57,61,32
2019,87,119,46,61,39
2020,102,125,68,59,11
2021,89,111,57,12,34
2022,101,113,49,65,33
2023,90,152,20,51,30
2024,83,115,46,62,13
2000,90,106,44,65,17
2001,101,101,62,46,23
2002,85,146,53,17,28
2003,105,123,77,49,10
2004,108,123,72,21,11
2005,107,144,28,61,15
2006,105,126,56,28,40
2007,100,134,23,51,38
2008,109,105,43,40,22
2009,96,118,43,17,8
2010,108,153,79,25,42
2011,89,119,36,68,5
2012,106,129,74,23,5
2013,85,137,66,61,10
2014,97,127,24,18,38
2015,94,125,41,52,6
2016,93,138,60,31,21
2017,95,142,57,49,45
2018,97,157,32,37,6
2019,83,148,46,12,7
2020,100,144,65,23,21
2021,99,114,66,31,7
2022,97,125,44,50,12
2023,108,155,31,17,18
2024,85,158,22,67,32
2000,85,129,53,13,45
2001,88,135,39,47,39
2002,101,116,79,59,6
2003,105,110,37,19,48
2004,85,101,25,17,33
2005,81,128,44,37,25
2006,96,133,58,24,31
2007,101,114,24,59,7
2008,84,123,51,20,49
2009,106,153,43,24,37
2010,93,155,25,15,32
2011,85,130,42,46,35
2012,82,146,78,22,37
2013,82,155,47,59,17
2014,109,119,49,68,15
2015,98,103,30,29,25
2016,82,145,22,63,36
2017,89,144,53,11,49
2018,92,120,67,60,11
2019,86,123,26,27,28
2020,84,106,22,48,42
2021,91,131,44,21,33
2022,104,104,52,34,26
2023,82,124,55,24,44
2024,80,129,71,11,10
2000,105,159,61,68,39
2001,98,121,65,59,8
2002,101,111,56,53,30
2003,96,100,64,48,46
2004,108,152,28,59,14
2005,99,146,21,15,22
2006,80,120,37,33,32
2007,85,133,75,26,38
2008,106,142,29,62,23
2009,109,128,42,61,33
2010,98,136,49,45,38
2011,108,102,22,48,48
2012,90,134,63,21,16
2013,88,148,75,14,7
2014,97,133,35,28,43
2015,94,157,63,55,22
2016,90,118,21,53,34
2017,104,153,21,49,28
2018,86,138,32,14,31
2019,91,105,20,21,20
2020,81,149,53,66,22
2021,100,101,52,60,12
2022,85,151,51,38,48
2023,88,117,31,64,24
2024,93,123,72,35,15
2000,103,157,51,43,17
2001,82,139,47,25,19
2002,92,137,28,25,37
2003,80,128,56,31,9
2004,92,112,28,19,23
2005,93,118,76,59,13
2006,101,149,23,48,34
2007,87,125,72,16,6
2008,90,118,37,21,44
2009,94,144,39,56,33
2010,103,159,48,59,8
2011,84,130,74,18,37
2012,84,143,31,16,13
2013,108,100,25,22,15
2014,103,105,21,19,47
2015,103,100,49,56,29
2016,87,103,42,47,8
2017,89,109,43,32,22
2018,105,137,42,36,7
2019,99,149,66,53,48
2020,85,103,74,50,35
2021,80,137,24,20,24
2022,92,150,73,53,46
2023,107,110,28,49,46
2024,87,130,53,46,8
2000,92,135,59,36,21
2001,105,143,44,66,12
2002,108,114,68,46,19
2003,97,151,46,11,6
2004,87,117,59,66,25
2005,92,104,49,31,30
2006,90,135,20,40,30
2007,89,109,54,47,13
2008,109,120,50,55,20
2009,106,103,36,12,22
2010,97,102,64,31,42
2011,87,106,38,16,8
2012,100,111,25,45,39
2013,87,150,73,22,49
2014,100,127,43,11,20
2015,101,157,76,26,10
2016,98,113,53,11,28
2017,85,149,79,28,15
2018,101,155,20,24,11
2019,95,140,30,53,10
2020,99,159,54,59,19
2021,90,103,73,56,15
2022,99,120,69,10,48
2023,101,151,44,45,15
2024,82,117,61,22,26
2000,93,139,75,57,42
2001,93,138,42,14,21
2002,99,146,43,53,11
2003,94,104,41,56,30
2004,85,137,27,58,46
2005,94,129,36,10,16
2006,82,151,64,24,12
2007,93,155,39,15,16
2008,95,108,23,14,17
2009,89,144,42,54,14
2010,90,131,74,18,32
2011,84,155,78,48,20
2012,95,146,42,46,34
2013,84,106,43,25,11
2014,104,137,49,22,33
2015,87,112,45,20,10
2016,94,110,76,16,49
2017,100,102,70,68,28
2018,106,113,43,25,12
2019,106,148,63,62,22
2020,101,127,42,14,16
2021,86,153,73,64,32
2022,102,115,34,50,16
2023,87,105,51,34,43
2024,90,103,45,36,19
2000,87,115,59,24,33
2001,108,118,20,49,13
2002,98,158,27,53,15
2003,96,110,34,42,12
2004,92,126,67,10,23
2005,105,117,57,31,39
2006,88,133,75,34,25
2007,92,121,24,62,32
2008,108,144,20,35,42
2009,104,111,20,13,41
2010,100,149,42,29,49
2011,107,131,42,34,22
2012,81,119,41,65,16
2013,83,114,41,39,36
2014,106,130,58,57,48
2015,91,107,34,65,23
2016,103,116,23,67,33
2017,86,125,69,65,39
2018,104,146,47,53,6
2019,108,108,55,10,17
2020,94,121,37,28,10
2021,106,121,67,25,20
2022,80,128,78,48,19
2023,87,146,47,30,15
2024,92,156,49,43,19
2000,94,118,65,31,10
2001,96,152,64,63,8
2002,82,145,30,63,39
2003,89,145,50,14,18
2004,91,153,59,62,21
2005,107,138,69,40,14
2006,109,130,75,48,45
2007,90,101,46,48,8
2008,88,112,27,55,43
2009,97,109,50,42,42
2010,104,121,47,58,48
2011,87,103,76,67,13
2012,92,123,42,37,40
2013,107,133,49,19,41
2014,98,106,68,34,40
2015,91,113,74,15,23
2016,90,118,40,12,28
2017,98,129,73,23,17
2018,87,157,40,14,36
2019,101,152,29,49,27
2020,103,132,40,15,41
2021,84,102,55,66,23
2022,84,137,38,36,43
2023,84,123,29,14,5
2024,81,136,48,46,43
2000,96,110,75,50,44
2001,108,116,23,30,27
2002,85,139,60,50,37
2003,86,117,72,35,5
2004,83,158,31,55,14
2005,105,112,26,23,19
2006,109,117,36,53,19
2007,95,152,40,36,19
2008,105,159,43,17,22
2009,88,113,45,25,32
2010,107,155,73,44,30
2011,80,109,30,60,39
2012,86,140,76,32,41
2013,96,123,26,37,11
2014,107,103,37,63,25
2015,93,116,28,47,46
2016,97,158,38,45,45
2017,81,104,31,47,49
2018,109,144,77,54,10
2019,92,143,75,58,15
2020,109,124,74,48,17
2021,86,147,47,59,9
2022,91,150,61,68,47
2023,107,157,64,18,45
2024,84,148,30,26,46
2000,108,155,22,51,14
2001,105,156,41,22,19
2002,98,113,71,20,35
2003,102,129,20,58,36
2004,87,130,33,43,25
2005,89,136,50,66,48
2006,98,129,62,56,23
2007,104,138,56,54,9
2008,93,114,27,49,28
2009,105,105,78,58,6
2010,109,130,42,37,48
2011,96,112,52,29,15
2012,86,125,23,32,43
2013,85,153,74,19,37
2014,98,133,37,10,36
2015,101,120,44,65,24
2016,97,150,26,14,43
2017,105,156,38,54,32
2018,93,151,79,66,6
2019,83,125,55,34,40
2020,106,107,46,23,11
2021,91,110,38,62,12
2022,98,133,36,49,41
2023,100,155,38,11,16
2024,95,156,74,11,16
2000,94,109,68,58,15
2001,107,117,34,63,14
2002,96,132,64,34,24
2003,102,105,28,21,40
2004,97,139,30,18,5
2005,92,105,77,37,24
2006,91,111,26,52,5
2007,102,157,52,65,8
2008,91,121,63,44,29
2009,103,134,75,10,29
2010,96,135,34,11,7
2011,100,100,37,43,15
2012,100,148,76,60,14
2013,99,106,49,52,28
2014,84,151,43,44,36
2015,83,122,46,32,31
2016,93,124,28,37,28
2017,94,133,72,54,9
2018,96,154,33,25,26
2019,97,114,79,23,8
2020,83,139,61,35,30
2021,89,138,67,27,48
2022,98,154,77,57,23
2023,94,105,49,26,28
2024,85,106,66,20,36
2000,105,114,61,55,34
2001,109,136,24,58,11
2002,88,124,27,54,32
2003,81,117,65,20,26
2004,82,126,59,28,19
2005,82,138,35,52,15
2006,100,145,31,65,49
2007,106,129,75,69,32
2008,89,117,25,62,26
2009,84,125,54,48,25
2010,94,150,21,67,13
2011,93,156,47,59,32
2012,103,133,64,41,41
2013,83,131,31,56,22
2014,83,118,21,53,6
2015,95,147,67,34,47
2016,107,159,58,16,32
2017,81,118,30,24,32
2018,108,133,30,32,31
2019,97,113,51,18,38
2020,85,125,35,18,26
2021,80,156,58,33,43
2022,85,117,39,59,8
2023,80,131,73,30,48
2024,106,111,25,41,46
2000,88,156,23,34,25
2001,93,125,66,61,32
2002,109,131,48,42,36
2003,98,159,24,33,36
2004,91,145,36,56,10
2005,82,112,51,15,27
2006,101,102,39,27,13
2007,94,145,24,56,10
2008,98,111,31,42,20
2009,87,127,69,34,31
2010,82,107,73,27,22
2011,84,133,22,49,29
2012,92,111,42,33,49
2013,95,141,61,45,9
2014,84,139,39,41,19
2015,101,134,53,60,49
2016,108,136,34,50,17
2017,105,153,20,60,49
2018,99,101,73,52,28
2019,80,159,43,61,44
2020,86,123,62,68,45
2021,84,138,28,66,15
2022,84,141,23,31,42
2023,84,149,22,61,10
2024,99,127,41,19,29
2000,101,125,23,52,32
2001,89,107,29,54,41
2002,101,149,60,65,5
2003,87,115,23,24,17
2004,82,144,45,46,33
2005,96,104,63,39,41
2006,106,157,56,62,12
2007,92,140,63,44,44
2008,87,102,47,66,48
2009,84,114,69,26,43
2010,98,149,37,12,47
2011,85,126,39,31,24
2012,89,126,58,55,38
2013,88,130,65,41,45
2014,93,127,38,27,23
2015,108,127,75,27,36
2016,96,132,27,62,31
2017,80,116,36,26,31
2018,90,119,47,31,18
2019,87,141,25,59,26
2020,101,152,37,27,42
2021,81,138,63,46,40
2022,84,113,25,19,26
2023,87,118,55,19,16
2024,103,129,65,31,46
2000,99,145,25,60,44
2001,97,102,64,40,27
2002,96,135,52,18,45
2003,103,115,48,22,39
2004,87,120,76,54,31
2005,107,106,35,58,15
2006,107,141,65,41,43
2007,84,135,38,58,11
2008,92,112,30,12,39
2009,98,124,36,56,45
2010,85,110,63,41,44
2011,99,123,60,52,42
2012,95,157,60,64,12
2013,109,126,49,26,27
2014,90,113,70,30,49
2015,84,137,37,17,17
2016,100,101,37,58,19
2017,83,119,41,41,43
2018,84,109,49,64,39
2019,102,123,38,52,12
2020,85,147,31,56,45
2021,102,133,35,62,36
2022,109,110,69,16,31
2023,94,116,34,22,27
2024,89,142,36,15,38
2000,80,134,46,28,42
2001,98,138,68,57,27
2002,87,101,41,51,15
2003,93,154,30,58,18
2004,107,105,42,40,11
2005,96,136,79,55,11
2006,103,120,72,56,30
2007,81,136,77,66,33
2008,105,154,36,48,48
2009,97,129,73,38,23
2010,107,154,52,64,47
2011,90,129,68,65,41
2012,83,148,36,27,31
2013,91,129,54,64,6
2014,81,138,78,57,34
2015,82,106,58,61,12
2016,94,149,78,47,17
2017,107,116,25,39,19
2018,88,135,31,23,9
2019,109,135,40,16,8
2020,84,156,32,30,31
2021,84,143,71,50,29
2022,105,144,65,26,20
2023,87,158,23,60,34
2024,99,110,22,42,39
2000,106,130,47,26,23
2001,109,136,55,54,7
2002,90,110,64,57,37
2003,96,119,78,35,48
2004,107,144,24,66,49
2005,92,151,54,49,36
2006,82,159,47,45,6
2007,82,155,74,56,45
2008,82,118,22,40,7
2009,85,155,79,44,28
2010,91,146,36,60,29
2011,99,144,25,63,18
2012,105,122,52,36,24
2013,105,114,41,57,19
2014,109,134,65,17,43
2015,97,153,54,50,45
2016,101,145,38,23,9
2017,98,121,75,38,23
2018,97,108,47,32,32
2019,107,135,76,60,18
2020,104,149,72,14,35
2021,92,122,34,14,32
2022,86,126,23,56,9
2023,103,122,34,35,36
2024,86,142,23,32,49
2000,85,133,38,20,28
2001,94,147,40,64,13
2002,104,121,62,31,16
2003,98,119,58,17,49
2004,94,100,24,46,43
2005,82,122,69,46,41
2006,83,122,55,54,9
2007,86,106,20,41,40
2008,89,115,45,67,12
2009,109,121,36,17,49
2010,83,147,42,19,5
2011,95,143,74,56,7
2012,104,128,54,41,11
2013,97,116,50,58,33
2014,84,142,51,50,15
2015,94,153,33,68,35
2016,101,119,57,25,39
2017,88,103,56,59,26
2018,109,100,43,42,42
2019,104,119,49,22,38
2020,80,152,47,12,43
2021,87,152,54,17,20
2022,103,125,76,59,10
2023,87,104,22,42,21
2024,82,139,65,60,21
2000,84,137,52,50,43
2001,88,128,67,55,9
2002,88,151,25,14,25
2003,95,120,23,61,42
2004,100,119,30,44,24
2005,107,113,66,51,46
2006,81,156,50,32,30
2007,102,130,64,49,45
2008,94,137,25,66,8
2009,94,129,47,45,38
2010,85,105,23,22,36
2011,107,145,51,51,20
2012,99,101,32,61,12
2013,106,105,75,14,19
2014,100,106,56,46,12
2015,82,141,61,29,22
2016,107,146,59,67,13
2017,94,156,64,21,25
2018,95,116,64,55,15
2019,108,130,33,34,9
2020,105,129,72,39,8
2021,95,145,21,60,15
2022,80,126,67,33,14
2023,107,129,57,49,40
2024,93,115,75,15,40
2000,96,143,77,23,20
2001,99,141,40,49,10
2002,90,105,56,67,23
2003,90,151,70,28,19
2004,96,131,63,11,21
2005,85,132,46,58,36
2006,96,156,47,55,26
2007,109,136,66,63,41
2008,108,142,62,12,40
2009,90,128,63,58,34
2010,96,120,53,56,40
2011,102,111,58,23,22
2012,98,123,55,66,41
2013,107,120,66,34,41
2014,94,127,28,41,33
2015,90,146,40,55,8
2016,105,156,78,22,29
2017,90,118,21,59,34
2018,98,139,31,57,11
2019,86,133,50,39,16
2020,80,147,59,45,41
2021,92,123,32,14,48
2022,95,149,54,57,34
2023,104,133,66,17,40
2024,88,118,25,52,24
2000,87,116,60,62,30
2001,109,125,43,24,24
2002,103,116,51,28,11
2003,83,141,43,45,34
2004,80,139,75,17,12
2005,95,112,66,43,39
2006,95,153,73,16,28
2007,97,158,74,18,32
2008,95,136,60,48,14
2009,95,155,72,66,46
2010,98,124,30,33,18
2011,105,156,44,39,11
2012,97,142,21,39,35
2013,88,147,64,54,34
2014,103,136,66,10,29
2015,95,140,60,37,20
2016,95,149,62,57,47
2017,91,139,67,19,37
2018,103,106,67,33,39
2019,83,102,57,35,36
2020,83,149,25,36,19
2021,95,102,43,35,47
2022,102,129,40,54,13
2023,89,104,50,30,27
2024,109,147,70,63,7
2000,108,137,21,13,39
2001,104,105,60,53,34
2002,84,118,35,19,18
2003,98,140,76,15,29
2004,93,144,46,11,29
2005,91,151,41,50,26
2006,98,156,35,45,9
2007,105,142,55,25,34
2008,80,100,30,37,27
2009,82,113,76,31,5
2010,102,107,40,14,8
2011,93,144,25,27,43
2012,81,152,28,44,35
2013,93,143,49,37,8
2014,101,151,20,32,14
2015,101,143,79,17,22
2016,85,104,45,34,44
2017,90,115,28,27,30
2018,92,102,73,47,42
2019,83,153,43,55,12
2020,91,145,60,57,34
2021,106,130,32,56,11
2022,95,140,65,20,45
2023,97,155,54,10,24
2024,104,106,66,22,22
2000,94,143,43,33,38
2001,82,118,55,64,17
2002,106,128,34,54,27
2003,82,100,57,40,35
2004,91,120,44,41,9
2005,101,152,39,48,49
2006,88,139,46,24,24
2007,85,144,30,31,38
2008,92,126,27,41,32
2009,98,135,41,61,44
2010,103,135,20,39,18
2011,83,134,38,37,12
2012,106,126,65,14,42
2013,103,102,63,40,48
2014,81,125,28,51,25
2015,87,112,53,40,44
2016,94,146,77,35,48
2017,105,130,39,15,5
2018,86,117,20,12,8
2019,106,129,46,58,20
2020,94,136,31,12,33
2021,107,135,71,13,46
2022,98,159,30,60,31
2023,85,140,35,66,34
2024,96,134,34,54,19
2000,85,150,47,36,26
2001,100,144,46,62,35
2002,81,128,20,31,34
2003,109,134,44,67,29
2004,92,111,43,54,34
2005,84,109,28,52,15
2006,96,129,58,62,45
2007,86,104,28,65,10
2008,93,131,40,35,36
2009,94,110,48,18,19
2010,99,150,34,28,40
2011,99,136,50,66,31
2012,82,130,63,46,42
2013,102,139,62,12,32
2014,99,125,26,54,32
2015,84,103,62,28,34
2016,106,129,71,55,18
2017,103,128,38,22,48
2018,106,157,38,27,7
2019,82,117,28,66,22
2020,95,116,42,56,7
2021,85,110,61,24,33
2022,109,151,66,61,38
2023,106,113,54,46,15
2024,95,119,47,67,43
2000,103,137,77,32,34
2001,109,141,34,51,44
2002,98,142,75,41,13
2003,80,106,57,36,6
2004,102,143,41,21,19
2005,98,136,53,34,42
2006,91,118,76,39,8
2007,85,118,30,55,31
2008,91,110,77,16,32
2009,106,154,74,25,26
2010,106,127,73,50,25
2011,103,113,23,20,25
2012,100,115,30,37,11
2013,82,131,63,58,5
2014,107,146,71,11,16
2015,85,134,67,58,36
2016,81,107,21,18,45
2017,109,146,31,52,11
2018,84,119,53,13,17
2019,104,157,64,33,16
2020,94,144,56,56,27
2021,100,144,23,45,9
2022,104,128,72,53,40
2023,105,138,75,28,17
2024,108,128,42,36,43
2000,104,129,61,40,25
2001,101,110,20,37,22
2002,92,154,39,68,21
2003,89,151,66,64,10
2004,82,113,65,18,9
2005,92,111,49,66,28
2006,96,155,66,10,23
2007,107,141,20,26,21
2008,88,125,60,11,40
2009,100,113,79,66,9
2010,97,149,68,28,30
2011,97,122,77,12,10
2012,101,130,34,20,24
2013,106,101,58,33,10
2014,98,159,20,29,49
2015,82,107,69,60,24
2016,94,132,24,46,13
2017,84,138,46,52,43
2018,100,122,76,19,46
2019,97,109,54,43,5
2020,96,126,76,13,9
2021,82,148,75,58,26
2022,91,100,31,43,28
2023,93,133,63,59,43
2024,92,106,23,31,41
2000,106,139,79,41,15
2001,93,121,46,54,30
2002,80,108,48,27,46
2003,93,108,78,58,40
2004,108,108,46,10,13
2005,97,102,60,50,44
2006,106,139,71,19,16
2007,97,154,76,25,12
2008,101,122,77,65,27
2009,84,140,22,67,12
2010,108,129,46,53,32
2011,92,131,25,21,35
2012,87,114,31,44,47
2013,93,152,59,31,5
2014,86,125,38,36,22
2015,97,139,25,12,28
2016,109,106,71,36,14
2017,92,118,46,64,41
2018,103,133,50,61,9
2019,82,119,38,37,18
2020,99,148,29,11,27
2021,80,126,72,38,33
2022,107,156,64,62,27
2023,105,131,71,12,42
2024,97,119,68,58,42
2000,88,143,42,43,11
2001,104,115,35,44,34
2002,105,137,56,11,47
2003,97,148,26,58,14
2004,88,145,44,60,16
2005,89,131,78,25,37
2006,97,109,48,20,45
2007,108,107,64,39,34
2008,85,154,27,10,6
2009,82,154,32,59,37
2010,104,105,72,42,41
2011,97,101,31,19,7
2012,84,153,27,20,14
2013,105,139,52,67,44
2014,85,125,45,16,38
2015,105,137,29,22,46
2016,92,146,70,18,5
2017,107,104,61,44,42
2018,92,117,25,10,22
2019,87,101,76,67,20
2020,86,129,75,56,22
2021,107,126,25,15,34
2022,103,157,46,67,12
2023,101,132,63,48,49
2024,101,125,74,31,35
2000,89,140,76,30,43
2001,103,155,65,36,9
2002,107,149,55,59,11
2003,96,141,67,67,29
2004,83,132,32,63,16
2005,104,102,68,60,28
2006,102,133,52,23,46
2007,98,128,70,37,26
2008,97,119,26,54,47
2009,85,112,73,43,47
2010,91,120,64,66,16
2011,99,126,47,24,45
2012,88,146,21,66,20
2013,108,105,28,35,20
2014,98,146,62,47,43
2015,105,147,21,16,49
2016,99,141,69,36,23
2017,92,138,63,42,28
2018,101,108,64,68,32
2019,98,109,29,67,46
2020,92,110,58,12,9
2021,106,119,53,63,5
2022,104,121,39,17,40
2023,108,147,49,10,34
2024,102,131,27,27,28
2000,98,130,31,62,5
2001,81,146,66,18,39
2002,99,111,21,61,35
2003,80,109,41,26,49
2004,84,121,60,33,7
2005,88,122,79,14,12
2006,93,120,56,14,35
2007,80,153,64,27,6
2008,106,130,41,59,25
2009,84,104,62,40,27
2010,107,131,73,60,46
2011,91,123,26,67,35
2012,105,108,76,17,22
2013,87,106,40,43,43
2014,98,140,52,57,47
2015,83,115,59,46,41
2016,97,102,23,16,25
2017,97,159,73,50,6
2018,97,143,69,59,43
2019,102,101,40,25,32
2020,95,119,74,10,11
2021,91,117,56,15,44
2022,92,150,45,17,21
2023,99,136,35,18,33
2024,85,132,61,54,14
2000,101,143,61,31,15
2001,105,149,79,16,37
2002,90,127,38,17,36
2003,97,153,78,54,15
2004,94,134,65,47,23
2005,92,126,33,38,11
2006,93,113,66,58,13
2007,107,142,53,28,31
2008,89,141,74,27,23
2009,91,110,33,32,36
2010,85,113,78,23,44
2011,100,114,78,11,37
2012,102,158,78,19,8
2013,91,124,70,27,10
2014,90,156,45,51,29
2015,84,108,78,16,12
2016,82,152,74,43,44
2017,84,123,75,23,12
2018,107,128,78,28,17
2019,96,131,28,54,26
2020,81,114,28,51,12
2021,104,119,50,24,30
2022,91,108,24,24,32
2023,85,144,59,12,6
2024,82,120,22,30,35
2000,99,109,25,51,18
2001,102,102,68,44,18
2002,103,139,72,36,25
2003,86,129,50,50,9
2004,85,116,41,24,26
2005,94,136,27,51,31
2006,84,151,26,25,32
2007,96,106,74,41,43
2008,90,108,63,15,47
2009,104,104,62,62,39
2010,105,159,53,53,36
2011,104,109,74,60,42
2012,103,147,32,15,13
2013,88,107,49,30,30
2014,104,120,35,14,23
2015,81,128,32,25,15
2016,93,143,56,31,30
2017,83,119,47,19,46
2018,105,124,29,21,36
2019,92,138,36,60,21
2020,92,155,27,45,21
2021,108,100,51,25,29
2022,82,122,43,37,45
2023,97,155,24,48,49
2024,89,108,42,34,19
2000,107,156,30,28,9
2001,85,152,55,21,15
2002,95,150,66,66,13
2003,84,149,53,36,12
2004,84,124,26,49,49
2005,90,145,52,23,18
2006,83,141,69,42,44
2007,108,102,79,65,23
2008,100,115,41,14,10
2009,87,153,50,54,41
2010,83,131,77,49,44
2011,103,156,27,51,34
2012,80,135,66,42,49
2013,88,116,76,69,9
2014,109,154,70,37,25
2015,88,126,51,45,15
2016,82,110,53,66,30
2017,96,123,29,61,6
2018,93,133,23,66,10
2019,84,144,40,54,15
2020,107,139,39,53,5
2021,109,145,40,38,28
2022,107,106,48,51,26
2023,93,141,25,15,20
2024,87,124,36,24,25
2000,107,127,36,35,40
2001,107,123,78,30,32
2002,106,110,32,36,19
2003,91,153,21,44,31
2004,106,110,76,38,5
2005,88,139,31,51,7
2006,105,139,55,25,25
2007,91,111,41,12,29
2008,101,117,61,62,44
2009,87,132,24,12,33
2010,101,124,71,68,25
2011,84,121,56,15,34
2012,85,127,67,31,22
2013,87,156,25,45,20
2014,85,117,37,52,18
