Year,Region,Mission Type,Diplomatic Missions,International Agreements,Agreement Type,Foreign Visits by Officials,Official Rank,Foreign Delegations to Ukraine,Trade Agreements Signed,Budget Spent (mln USD)
2007,South America,Delegation,104,132,Cultural Exchange,25,Consul,19,23,7
2007,Asia,Embassy,80,132,Cultural Exchange,39,Minister,46,41,77.16
2017,Asia,Delegation,92,112,Trade Agreement,42,Deputy Minister,50,25,26.78
2017,Asia,Consulate,97,121,Cultural Exchange,62,Consul,49,23,25.05
2007,South America,Consulate,86,107,Cultural Exchange,61,Minister,69,31,44.19
2005,Africa,Consulate,93,115,Political Agreement,36,Minister,50,46,7.52
2004,Asia,Permanent Mission,108,159,Cultural Exchange,56,Minister,63,30,35.76
2015,Asia,Permanent Mission,86,104,Political Agreement,70,Minister,16,49,39.77
2008,Europe,Permanent Mission,107,146,Security Pact,63,Consul,55,27,83.4
2006,Europe,Delegation,83,130,Political Agreement,72,Ambassador,66,39,63.32
2002,North America,Consulate,99,127,Trade Agreement,41,Consul,63,10,46.57
2014,North America,Permanent Mission,103,118,Political Agreement,29,Minister,24,10,41.17
2005,North America,Consulate,103,131,Political Agreement,65,Ambassador,38,9,65.33
2005,Africa,Consulate,93,107,Political Agreement,22,Minister,12,49,76.51
2007,Asia,Consulate,80,124,Trade Agreement,45,Consul,69,36,16.82
2013,North America,Embassy,97,154,Security Pact,39,Ambassador,22,41,25.44
2008,Asia,Consulate,91,114,Political Agreement,54,Minister,45,36,25.56
2002,Asia,Permanent Mission,90,114,Trade Agreement,70,Consul,30,45,69.39
2012,Asia,Permanent Mission,88,133,Security Pact,42,Ambassador,12,12,39.8
2013,Europe,Embassy,82,140,Political Agreement,55,Consul,25,46,37.21
2001,South America,Permanent Mission,102,151,Political Agreement,54,Deputy Minister,66,45,56.88
2022,Africa,Delegation,84,113,Political Agreement,30,Minister,68,22,97.29
2007,Africa,Embassy,108,143,Security Pact,60,Deputy Minister,27,16,6.36
2000,Africa,Consulate,99,153,Political Agreement,53,Ambassador,30,7,26.34
2014,Africa,Consulate,82,117,Trade Agreement,73,Deputy Minister,27,39,32.19
2016,North America,Permanent Mission,82,149,Cultural Exchange,39,Minister,27,27,81.07
2002,North America,Consulate,81,131,Cultural Exchange,34,Deputy Minister,13,25,42.99
2017,South America,Delegation,108,131,Political Agreement,67,Minister,26,25,34.67
2004,North America,Delegation,109,103,Political Agreement,75,Minister,20,48,96.4
2003,Africa,Permanent Mission,98,144,Security Pact,53,Ambassador,20,34,80.68
2007,Asia,Consulate,105,145,Political Agreement,53,Consul,53,19,67.09
2011,Europe,Permanent Mission,98,135,Security Pact,56,Ambassador,11,31,27.28
2021,Asia,Delegation,97,139,Cultural Exchange,66,Minister,59,19,43.41
2002,South America,Delegation,105,109,Cultural Exchange,32,Consul,65,35,19.76
2011,North America,Permanent Mission,103,103,Cultural Exchange,37,Minister,40,21,61.98
2003,Asia,Consulate,94,148,Security Pact,76,Ambassador,27,21,11.87
2007,North America,Embassy,87,111,Trade Agreement,70,Deputy Minister,25,16,90.1
2002,Africa,Permanent Mission,88,124,Security Pact,45,Deputy Minister,48,20,99.39
2013,South America,Permanent Mission,98,136,Security Pact,62,Deputy Minister,29,24,48.56
2012,Asia,Embassy,85,138,Security Pact,75,Deputy Minister,32,33,36.59
2006,Asia,Delegation,97,158,Trade Agreement,57,Consul,66,32,89.99
2009,Africa,Delegation,90,141,Security Pact,53,Ambassador,28,34,64.84
2009,Asia,Embassy,88,134,Political Agreement,41,Minister,68,44,60.92
2003,Africa,Delegation,82,141,Security Pact,30,Deputy Minister,47,20,58.67
2011,Asia,Consulate,105,147,Security Pact,51,Consul,18,6,25.11
2002,Europe,Delegation,100,103,Security Pact,73,Minister,24,35,7.39
2017,Africa,Delegation,84,120,Cultural Exchange,48,Ambassador,12,41,54.48
2012,Europe,Embassy,104,149,Security Pact,49,Deputy Minister,25,24,11.55
2017,South America,Embassy,84,123,Security Pact,71,Ambassador,20,34,81.4
2001,North America,Delegation,106,135,Political Agreement,-999,Consul,28,27,30.01
2018,Asia,Embassy,108,134,Trade Agreement,44,Deputy Minister,44,38,49.61
2016,South America,Embassy,100,119,Trade Agreement,62,Ambassador,28,18,91.45
2002,Africa,Permanent Mission,87,103,Cultural Exchange,33,Ambassador,38,5,41.83
2004,Asia,Permanent Mission,92,146,Security Pact,47,Minister,19,8,53.93
2021,Asia,Embassy,106,137,Cultural Exchange,32,Minister,55,11,89.44
2018,Europe,Consulate,100,153,Cultural Exchange,28,Minister,69,37,92.48
2020,North America,Embassy,81,130,Security Pact,56,Ambassador,21,38,8.33
2012,South America,Permanent Mission,103,103,Cultural Exchange,61,Ambassador,46,12,22.23
2008,Asia,Consulate,83,140,Security Pact,21,Deputy Minister,13,33,78.27
2019,Europe,Embassy,82,140,Political Agreement,49,Minister,33,13,5.22
2021,North America,Embassy,87,102,Security Pact,22,Consul,37,36,85.21
2016,Asia,Delegation,86,104,Political Agreement,50,Ambassador,33,16,87.31
2015,Africa,Embassy,106,111,Cultural Exchange,61,Minister,69,21,95.92
2014,Africa,Embassy,87,149,Cultural Exchange,75,Minister,40,17,1.94
2004,Europe,Embassy,85,151,Political Agreement,67,Minister,18,20,48.22
2003,South America,Consulate,93,113,Cultural Exchange,53,Minister,69,10,35.39
2020,Africa,Consulate,83,104,Trade Agreement,29,Ambassador,17,16,21.01
2014,Asia,Permanent Mission,91,111,Political Agreement,73,Ambassador,31,49,65.6
2011,Asia,Embassy,103,121,Security Pact,46,Ambassador,26,17,85.04
2004,Africa,Permanent Mission,80,128,Trade Agreement,33,Minister,46,16,29.08
2021,Africa,Permanent Mission,100,127,Trade Agreement,55,Ambassador,68,32,29.79
2019,North America,Permanent Mission,99,123,Political Agreement,71,Ambassador,33,45,39.67
2018,Europe,Delegation,106,122,Trade Agreement,60,Deputy Minister,66,21,75.59
2004,Asia,Delegation,104,147,Trade Agreement,25,Ambassador,66,22,20.23
2023,Asia,Permanent Mission,92,141,Cultural Exchange,64,Minister,49,22,46.03
2006,Asia,Delegation,93,117,Security Pact,22,Consul,67,40,84.16
2016,Africa,Delegation,88,154,Trade Agreement,78,Consul,16,29,27.08
2017,Asia,Consulate,98,117,Security Pact,57,Ambassador,46,8,37.16
2010,Europe,Embassy,109,117,Trade Agreement,74,Ambassador,19,37,88.54
2009,Africa,Delegation,94,121,Security Pact,52,Minister,38,36,31.99
2022,Africa,Embassy,90,144,Political Agreement,77,Consul,54,43,90
2002,Africa,Consulate,102,133,Security Pact,26,Deputy Minister,53,40,78.31
2021,Europe,Delegation,83,129,Trade Agreement,64,Minister,13,9,70.32
2005,Asia,Delegation,81,122,Trade Agreement,42,Minister,38,48,24.15
2016,Europe,Consulate,90,157,Security Pact,32,Ambassador,11,47,48.25
2005,North America,Consulate,107,120,Trade Agreement,77,Ambassador,41,22,30.77
2009,Africa,Embassy,83,115,Political Agreement,60,Consul,59,16,28.16
2004,Africa,Permanent Mission,89,124,Security Pact,57,Consul,52,23,8.16
2002,South America,Embassy,98,121,Trade Agreement,73,Deputy Minister,44,22,95.51
2003,South America,Consulate,97,100,Political Agreement,53,Ambassador,20,20,53.74
2005,South America,Embassy,81,159,Security Pact,30,Ambassador,24,11,69.42
2015,Africa,Permanent Mission,98,152,Cultural Exchange,20,Deputy Minister,11,12,58.09
2023,Asia,Permanent Mission,108,125,Security Pact,63,Ambassador,25,16,4.32
2020,Africa,Consulate,102,129,Security Pact,77,Ambassador,49,41,38.13
2000,South America,Embassy,93,120,Cultural Exchange,30,Deputy Minister,29,44,21.03
2004,North America,Permanent Mission,84,123,Cultural Exchange,74,Minister,54,14,85.21
2008,Africa,Embassy,82,152,Security Pact,58,Consul,69,46,94.25
2019,North America,Embassy,100,118,Trade Agreement,67,Ambassador,62,45,94.97
2019,North America,Embassy,96,151,Cultural Exchange,75,Consul,42,34,29.97
2003,South America,Permanent Mission,89,120,Security Pact,63,Minister,66,15,68.04
2005,Africa,Delegation,107,146,Political Agreement,55,Minister,12,37,28.27
2023,Africa,Embassy,105,112,Cultural Exchange,43,Deputy Minister,60,43,40.5
2020,Europe,Permanent Mission,86,110,Political Agreement,54,Deputy Minister,39,7,65.75
2010,South America,Consulate,95,137,Political Agreement,34,Consul,31,20,45.68
2012,Asia,Permanent Mission,95,133,Political Agreement,77,Deputy Minister,46,18,56.13
2021,Asia,Embassy,81,147,Cultural Exchange,43,Consul,47,18,81.76
2013,Europe,Consulate,101,131,Trade Agreement,32,Consul,37,27,59.19
2002,South America,Delegation,80,138,Political Agreement,72,Deputy Minister,67,40,53.45
2022,North America,Consulate,82,138,Security Pact,36,Deputy Minister,41,31,37.17
2003,Asia,Embassy,92,109,Security Pact,31,Consul,49,7,19.36
2011,South America,Permanent Mission,87,120,Cultural Exchange,69,Ambassador,36,6,38.57
2009,Europe,Delegation,106,147,Security Pact,52,Consul,34,17,25.75
2000,Europe,Consulate,92,141,Political Agreement,66,Minister,39,47,66.39
2022,Africa,Delegation,94,155,Cultural Exchange,67,Consul,59,22,66.58
2008,Europe,Embassy,82,129,Political Agreement,26,Deputy Minister,19,40,13.9
2022,South America,Embassy,99,148,Security Pact,43,Consul,47,19,83.8
2004,Europe,Embassy,107,109,Cultural Exchange,32,Consul,53,11,84.32
2019,South America,Delegation,90,102,Cultural Exchange,46,Ambassador,48,12,88.61
2022,Africa,Delegation,86,137,Political Agreement,68,Ambassador,10,6,21.41
2007,Asia,Embassy,90,141,Security Pact,22,Deputy Minister,37,11,5.87
2003,Africa,Consulate,92,148,Trade Agreement,37,Minister,14,22,27.16
2014,South America,Delegation,104,125,Political Agreement,52,Consul,49,45,63.27
2019,Europe,Delegation,98,142,Cultural Exchange,73,Consul,59,49,30.67
2014,North America,Embassy,94,158,Trade Agreement,32,Ambassador,56,13,1.14
2003,Asia,Consulate,100,104,Trade Agreement,24,Deputy Minister,36,41,70.63
2007,North America,Embassy,93,133,Political Agreement,62,Consul,53,12,98.48
2017,South America,Consulate,82,140,Trade Agreement,67,Consul,67,45,7.27
2000,South America,Embassy,84,105,Trade Agreement,20,Ambassador,23,46,62.38
2015,South America,Permanent Mission,108,136,Cultural Exchange,39,Minister,54,5,24.2
2003,South America,Consulate,103,143,Security Pact,29,Minister,33,19,30.53
2019,South America,Embassy,102,144,Trade Agreement,70,Consul,46,42,67.64
2011,South America,Embassy,106,150,Security Pact,60,Deputy Minister,38,6,5.82
2012,Africa,Permanent Mission,83,155,Security Pact,60,Ambassador,46,11,18.84
2019,Europe,Consulate,87,111,Trade Agreement,33,Consul,25,20,34.98
2014,Asia,Embassy,89,154,Cultural Exchange,30,Ambassador,60,15,31.59
2015,Asia,Consulate,108,146,Trade Agreement,66,Consul,52,46,65.04
2002,North America,Delegation,80,121,Trade Agreement,53,Consul,17,37,60.79
2014,South America,Embassy,94,137,Political Agreement,75,Deputy Minister,52,19,26.73
2009,Asia,Permanent Mission,80,156,Trade Agreement,79,Deputy Minister,24,10,80.03
2019,South America,Delegation,89,140,Political Agreement,48,Consul,64,5,14.3
2021,Africa,Embassy,81,154,Security Pact,60,Consul,14,21,50.62
2014,South America,Consulate,97,157,Trade Agreement,60,Deputy Minister,27,25,88.06
2014,Africa,Delegation,105,147,Security Pact,69,Ambassador,49,41,84.49
2002,Africa,Permanent Mission,105,125,Security Pact,69,Deputy Minister,49,5,70.79
2019,North America,Delegation,89,118,Political Agreement,50,Minister,57,36,90.98
2012,South America,Permanent Mission,103,123,Political Agreement,73,Ambassador,67,35,1.76
2006,Europe,Embassy,104,138,Trade Agreement,50,Consul,57,23,51.11
2019,Europe,Consulate,92,114,Cultural Exchange,48,Ambassador,58,29,8.99
2006,North America,Delegation,102,141,Cultural Exchange,21,Deputy Minister,32,21,92.13
